source,site,item_id,item_title,category_id,rating,review_title,review_text,collection_date
mercadolivre_api_reviews,mercadolivre,MLB6586337520,"Maleta Para Notebook, Bolsa Notebook Para 15,6 Polegadas Masculina Impermeável E Acolchoada, Pasta Para Notebook Executiva Portátil Estilo Bandolera Acessórios Para Notebook Taygeer 1073 Preto Marron",MLB16547,5,Excelente,Ótima costura e de boa qualidade tbm. Sempre fico com um pé atrás na hora de comprar coisas assim. Mas dessa vez me surpreendeu positivamente kk recomendo.,2026-04-19
mercadolivre_api_reviews,mercadolivre,MLB6586337520,"Maleta Para Notebook, Bolsa Notebook Para 15,6 Polegadas Masculina Impermeável E Acolchoada, Pasta Para Notebook Executiva Portátil Estilo Bandolera Acessórios Para Notebook Taygeer 1073 Preto Marron",MLB16547,5,Excelente,"Produto muito bom, bem feito, bem costurado e material super resistente. Ótima compra.",2026-04-19
mercadolivre_api_reviews,mercadolivre,MLB6586337520,"Maleta Para Notebook, Bolsa Notebook Para 15,6 Polegadas Masculina Impermeável E Acolchoada, Pasta Para Notebook Executiva Portátil Estilo Bandolera Acessórios Para Notebook Taygeer 1073 Preto Marron",MLB16547,5,Excelente,O custo benefício é muito bom.,2026-04-19
mercadolivre_api_reviews,mercadolivre,MLB6586337520,"Maleta Para Notebook, Bolsa Notebook Para 15,6 Polegadas Masculina Impermeável E Acolchoada, Pasta Para Notebook Executiva Portátil Estilo Bandolera Acessórios Para Notebook Taygeer 1073 Preto Marron",MLB16547,5,Excelente,"Coube meus livros de d&d 5e, blocos de notas, lápis, dados e ainda sobrou bolsos!!!.",2026-04-19
mercadolivre_api_reviews,mercadolivre,MLB6586337520,"Maleta Para Notebook, Bolsa Notebook Para 15,6 Polegadas Masculina Impermeável E Acolchoada, Pasta Para Notebook Executiva Portátil Estilo Bandolera Acessórios Para Notebook Taygeer 1073 Preto Marron",MLB16547,5,Excelente,"Resistente, bonita e coube tudo que eu tinha que colocar nela, um notebook, uma pasta, 3 cadernos, carregadores, hd externo, kindle, e canetas. Tudo ficou bem encaixado, amei. Recomendo.",2026-04-19
mercadolivre_api_reviews,mercadolivre,MLB6586337520,"Maleta Para Notebook, Bolsa Notebook Para 15,6 Polegadas Masculina Impermeável E Acolchoada, Pasta Para Notebook Executiva Portátil Estilo Bandolera Acessórios Para Notebook Taygeer 1073 Preto Marron",MLB16547,5,Excelente,"Pode comprar de olhos fechados, qualidade excelente.",2026-04-19
mercadolivre_api_reviews,mercadolivre,MLB6586337520,"Maleta Para Notebook, Bolsa Notebook Para 15,6 Polegadas Masculina Impermeável E Acolchoada, Pasta Para Notebook Executiva Portátil Estilo Bandolera Acessórios Para Notebook Taygeer 1073 Preto Marron",MLB16547,5,Excelente,"Simplesmente maravilhosa a maleta, do jeitinho que eu queria, firme, forte e bem acolchoada para o notebook, ainda tem espaço para cadernos e livros.",2026-04-19
mercadolivre_api_reviews,mercadolivre,MLB6586337520,"Maleta Para Notebook, Bolsa Notebook Para 15,6 Polegadas Masculina Impermeável E Acolchoada, Pasta Para Notebook Executiva Portátil Estilo Bandolera Acessórios Para Notebook Taygeer 1073 Preto Marron",MLB16547,5,Excelente,"Ótimo produto, espaçosa,resistente, alças reforçadas e cabe bastante coisa! excelente!.",2026-04-19
mercadolivre_api_reviews,mercadolivre,MLB6586337520,"Maleta Para Notebook, Bolsa Notebook Para 15,6 Polegadas Masculina Impermeável E Acolchoada, Pasta Para Notebook Executiva Portátil Estilo Bandolera Acessórios Para Notebook Taygeer 1073 Preto Marron",MLB16547,5,Excelente,Excedeu minhas expectativas! excelente produto. Muito bem dividida e bom acabamento. Recomendo!.,2026-04-19
mercadolivre_api_reviews,mercadolivre,MLB6586337520,"Maleta Para Notebook, Bolsa Notebook Para 15,6 Polegadas Masculina Impermeável E Acolchoada, Pasta Para Notebook Executiva Portátil Estilo Bandolera Acessórios Para Notebook Taygeer 1073 Preto Marron",MLB16547,5,Excelente,O material da pasta aparenta ser de ótima qualidade.,2026-04-19
